username,comment,date,likes
@jackjolly789,"I'm not from the US but I sure as hell know not to point a weapon at a cop, It's extremely senseless.",3 years ago,160
@DenverEight,"I remember in Captain Planet, Mati’s power of heart linked the other planeteers on an empathic and telepathic degree. His teammates understood and linked together to quickly assess problems and then possibly summon Captain Planet. The key to it was Mati’s own will that anchored and drove the team to their goals.",3 years ago,0
@jhartmggc,"It’s tragic how this all unfolded. Unfortunately, once the officers suspected a DIU they had to follow the rules. Changing laws for minor crimes like DIU where the car is impounded and the suspect is ticketed and told to report to court instead of being handcuffed and arrested would have avoided this confrontation.",3 years ago,0
@datofficial6062,"We dont need his ""help to understand what we're seeing"", what we need is a full uncut video to judge for ourself what we're seeing.",3 years ago,289
@panthercub10,You know it odd but the more this happens the more I start to see and hear people give any excuse to take another persons life.,3 years ago,1
@thomasgurgal6438,"I have been in a similar situation after an office party. The police drove me home, and that is what should have happened here, or they should have let him call family. Nothing he did was a capital offence. Police  don’t get to be judge, jury, AND executioner.🇺🇸",3 years ago,1
@cynthialangley7338,I don't even know what to say. If this is standard operating procedure then we definitely need to make major changes asap. My condolences to the family.,3 years ago,19
@jjburkk,There's a time and a place to fight the police.  It's called a court room.,3 years ago,41
@triadi5876,May He rest in peace!,3 years ago,0
@bertreynolds8146,Can you imagine if CNN was the only place you were getting news? You'd know absolutely nothing about nothing,3 years ago,38
@SIl_Ae,"I always ask myself the same question when it comes to police shootings. ""Don't they train to know where to aim?""

There's a massive difference in aiming at someone with a deadly weapon assaulting you and chasing someone. The guy used a taser, the officer probably panicked, it's understandable that maybe he lost composure in that moment. But this is a prime example of a) where police training fails & b) why police shouldn't be armed.",3 years ago,0
@agonzalez8924,"You conveniently left out that in the struggle he also ripped away a taser from one of the officers, and was actively trying to use it.",3 years ago,64
@milaniinalim3357,"He was drunk and acted irrationally when panicked but he still didn’t deserve to die, so many people have done worse and are still alive",3 years ago,103
@NeverCanDecide,"How can you try fight cops, steal their weapon and be susprised that they shot you lol",3 years ago,30
@janellebentley2002,Well analyzed and the cops were definitely embarrassed. We need a conviction,3 years ago,0
@mattfoley7881,"If you resist arrest, you take a chance.  If you grab an officer’s weapon, you take a chance.  If you run away from officers who apprehended you, you take a chance.  If you aim a weapon at an officer, you take a chance.  When you do all 4, you’re flipping a coin as to whether you’ll come out alive.",3 years ago,3
@justinleet3639,The fact this is what you choose to cover shows your true intentions.,3 years ago,85
@ezdoesit20,"The fact that she said.. ""white officers and a black man"" is the problem",3 years ago,405
@wwhinshort912,Teach everyone to respect human. To respect life. To live and enjoy life. Stop these kind of behavior.,3 years ago,32
@paulreed3778,if you drive under the influence which puts other people in danger and then get punished for it that’s how life works. If you try to avoid said punishment and force an altercation like this then in the event you are shot and/or killed you brought all of it on yourself. Decisions have consequences,3 years ago,0
@davidpaglia1326,Almost the same thing happened to me but cop took my keys and told me he would be back in an hour! I went into store had a cup of coffee cop came back asked me if i was alright and gave me my keys. That was 1981. Back in those days it wasnt all about filling town coffers!,3 years ago,0
@torybradwhite7384,"I always wonder why CNN never shows the whole CLIP, JUST spiced sections together. Really hard to believe them on what they do show, when they have so much they don't",3 years ago,51
@donnacouch7430,he got what he deserved  !!  the video shows that the police officer was doing his job  !!  thanks for your job well done police officer  !!   GOD BLESS you all out there  !!,3 years ago,0
@vlogsusa144,Feel bad for the guy,3 years ago,0
@extramind6969,There is something really wrong with the police in the States. Things like this are happening once in a decade here in Europe.,3 years ago,10
@MattGaetzOnAWhiteFordBronco,"I'm so sorry for this man. Being drunk and resisting arrest is not a reason to get shot. That being said: you have the guy's car and patted him down. 

Police: LET HIM RUN. He was gonna get caught. Follow him around on your car to prevent him from getting hurt or something. It's amateur hour with the police.",3 years ago,0
@medaanhil4133,I had a real conversation with some nice white folks I worked with about situations like this. This guy actually told me a big tip. They hardly ever got arrested for drinking and driving because the local cops knew them and their families and would just let them go. Why?,3 years ago,0
@bhrondapinder4091,This is causing anxiety that it’s literally making me sick.,3 years ago,2
@eliascastillo1641,"Resisting arrest is never good, neither is pointing and firing an object at night at an officer. Sorry for his death, but a little wise decision making goes a long way. People need to learn you resist in court not in the street in the middle of the night.",3 years ago,16
@shukrih1404,This is beyond any comprehension. He was compliant and was not endangering anybody’s life. Why use such deadly force?,3 years ago,0
@hotrable,"Regardless of him running away with the taser, he shouldn't have been shot to death. The police shouldn't be the judge, jury, and executioner over the decision to end an unarmed man's life.",3 years ago,69
@marieeab01,"I live in the UK and can’t understand why the police were called, I’m absolutely sure that staff here  would have tapped on the window and asked” Sir you want to order” and if he didn’t wake it wouldn’t be the police  they’d call it would be an ambulance.",3 years ago,0
@ginagay5860,"PRAY for the world right now,it needs it!!!",3 years ago,30
@ajcutler3472,"""APD SHOOTING EXPLAINED
Before reading below, remember that officers are afforded the same constitutional rights as citizens, so whether they’re charged for political reasons or not, the facts of the case remain the same until their day in court:",3 years ago,2
@kokiketili,"I am not the police, but one thing I know is, if someone is running away, you don't kill them, you chase them down. They found no weapons on him and the police were not in any immediate danger. This man's life mattered. PERIOD!",3 years ago,0
@zurdoremi,"the suspect resisted, fought with the cops, supposedly took a taser from one of the cops, tried to escape, then turned around and fired the taser at the cop. This is not a Floyd case. The cop had no choice. It's all clear in the video.",3 years ago,18
@MrLediogjergjani81,How can someone running away from you pose an imminent threat?,3 years ago,18
@NlCKED,"So the suspect is driving while under the influence of more than two times the legal limit, resists arrest, steals and points the officers taser at the him and people think this is okay?",3 years ago,75
@gmanon1181,"The police in this case was clearly seeking for an excuse to kill this man.  How in the world could we call those individuals law enforcement?

These practices are obviously deathly wrong, and are nothing, but lynching.",3 years ago,0
@unclesam8451,"Hi there, I’m Rashard Brooks. I was sentenced to 7 years in prison for beating my KIDS. I was paroled due to the covid-19.
I drove drunk to Wendy’s and passed out in the drive through line, when a cop tried to arrest me for my 2nd dui I stole his taser and fired it at him because I knew I would be sent back to prison...I’m a martyr now...",3 years ago,69
@Darell2710,"Yes he made a mistake, but there was no reason for the police to shoot him. You could always catch him another day and give him the additional charge of having resisted arrest. In the military I was taught that a firearm during peacetime is meant for protection, and only discharged when there is an imminent threat towards you or the people you are protecting. You are supposed to meet the escalation level, attempt to de-escalate, and never to escalate further. A taser may have been a threat (as seen in the extended version of this video), but not one that requires an immediate use of a firearm. Furthermore, shots should be made to disarm, and not to kill. Shooting and killing this fleeing criminal made the police the judge and the jury on that man’s life. If they had let him go then, the law would still have caught up with him eventually. Not all criminals deserve the death penalty.",3 years ago,0
@MrRayMac1963,"For years we've seen ""drunk stops"" aired on cops where the guy runs away and they never shoot him in the back.  So as wrong as Brooks was (and he is very wrong) this never should have got to the level of lethal force.",3 years ago,2
@revolutiondance1141,Imagine if the cop just said we will have to give you a ride home you can’t operate your vehicle for the night. But not in this day and age where all of this at the end was about money not justice but money. America is not a country it’s a business.,3 years ago,16
@marcusbarnes2736,It's sad to hear that this man was shot and killed by a police officer but at the same time do not put yourself in a situation to were u going to make it harder on yourself. Just corporate in the best way that u can and don't give any police officers a reason to take out their guns.,3 years ago,0
@GO-GO_SO-SO,I wish they would do a story on what happened to Breonna Taylor.  She was an EMT shot in her own home by police during a no-knock raid.,3 years ago,26
@jeanettehinds4253,The officer should of taken control of him from the first second. He's walking up and down telling the man to keep looking for his license. It's so frustrating. They're either putting their foot on your neck or they're walking around like you are their best friend. Just do your damn job. That's what the public wants. We want you to follow procedure and then you go home and they either go home or to jail. But at least all concerned still have their life.,3 years ago,0
@robotron17,"There may have been some confusion as to what weapon he grabbed from the other officer.
Did he just grab the taser, or did he also get a gun? Rayshard brought this on himself.",3 years ago,8
@noahedmonds83,I pray for his family but just comply people it’s easier than losing your life over something simple.,3 years ago,0
@The_Fumbles,I’m not saying it’s right but resisting arrest is never a good idea,3 years ago,113
@nazariog.1155,"This dude should have just complied and should have let the cops arrest him. If he thought he was innocent he could have fought it in court. They only hold you for 8 hrs in the drunk tank, he could have just done his 8 hrs gone home and get a lawyer; instead he wound up dead which is sad. I pray that everyone decides to change and make the right choices for the sake of their own health and the health of others!!!",3 years ago,0
