,username,comment,date,likes
0,@ferrocha26,That reporter is like that kid who keeps talking back to the teacher and the teacher is trying to move on,il y a 3 ans,"14 k ""J'aime"""
1,@basicallytroll2705,"Imagine Biden gets treated like this, he'll just walks out.",il y a 2 ans,"4,8 k ""J'aime"""
2,@aaronchristopher1239,Love him or hate him - you have to feel sympathy. He has to face a barrage of reporters criticizing and trying to trip him up each and every day.,il y a 3 ans,"1,7 k ""J'aime"""
3,@andrewpulido94,Damm I miss having a president that’s not afraid to take up some questions from the media,il y a 1 an,"656 ""J'aime"""
4,@maxpaws3977,To be fair he was a very persistent pest of a reporter. And he clung onto that mic like it was his life and even when the mic was out of his hand he went on and on.,il y a 2 ans,"1,9 k ""J'aime"""
5,@goldensoul1842,Nothing worse than a guy who doesn't know when he's beat. That reporter was terrible.,il y a 6 mois,"258 ""J'aime"""
6,@orcalore,The reporter is like that one person who loses an argument but just can’t take a loss for an answer.,il y a 3 ans,"4,2 k ""J'aime"""
7,@cvlogsmedia,This news reporter will remember this moment for the rest of his life,il y a 2 ans,"433 ""J'aime"""
8,@kilors206,“Trump attacks CNN reporter” if that’s called attacking then I doubt the Guardian would survive in a Call of Duty lobby,il y a 3 ans,"5,3 k ""J'aime"""
9,@ernestmfakudze,He cracked me up when he said those people climbing the wall were not actors and they were not from Hollywood!,il y a 1 an,"525 ""J'aime"""
10,@jackflash8342,President Trump being right again and again.,il y a 11 mois,"341 ""J'aime"""
11,@WizardCrafterzSucksL,"The guardian: “Trump wickedly berates and attacks elderly women”
Reality: Trump ask’s his mother to pass the ketchup at dinner",il y a 1 an,"456 ""J'aime"""
12,@citizen8969,Imagine being called out by the President,il y a 4 ans,"5,4 k ""J'aime"""
13,@explorewithjehan4244,"No fear , no hesitation and such a brave person.",il y a 3 ans,"254 ""J'aime"""
14,@prkycck4445,"This is how you ask the question the right way:  “Mr. President, what do you say to those who believe the caravan was not an invasion as you said it but were rather peaceful refugees?”  Simple, does not attack the president verbally, and offers room for a discussion.  These news reporters don’t know how to ask questions which is rather sad!",il y a 3 ans,"136 ""J'aime"""
15,@kareemthephb9015,“they’re not from hollywood” killed me,il y a 1 an,"199 ""J'aime"""
16,@thecrabpulsar,That was savage! Sometimes I think Trump is treating these reporters the right way. They deserve every misery that comes their way bcoz of the way they behave.,il y a 3 ans (modifié),"52 ""J'aime"""
17,@kingsmith5412,Yesmi was being disrespectful talkin out a term and that is a disgrace for the media to be doing such a thing,il y a 6 mois,"6 ""J'aime"""
