username,comment,date,likes
@ferrocha26,That reporter is like that kid who keeps talking back to the teacher and the teacher is trying to move on,3 years ago,14
@basicallytroll2705,"Imagine Biden gets treated like this, he'll just walks out.",2 years ago,4
@aaronchristopher1239,Love him or hate him - you have to feel sympathy. He has to face a barrage of reporters criticizing and trying to trip him up each and every day.,3 years ago,1
@andrewpulido94,Damm I miss having a president that’s not afraid to take up some questions from the media,1 year ago,656
@maxpaws3977,To be fair he was a very persistent pest of a reporter. And he clung onto that mic like it was his life and even when the mic was out of his hand he went on and on.,2 years ago,1
@goldensoul1842,Nothing worse than a guy who doesn't know when he's beat. That reporter was terrible.,6 months ago,258
@orcalore,The reporter is like that one person who loses an argument but just can’t take a loss for an answer.,3 years ago,4
@cvlogsmedia,This news reporter will remember this moment for the rest of his life,2 years ago,433
@kilors206,“Trump attacks CNN reporter” if that’s called attacking then I doubt the Guardian would survive in a Call of Duty lobby,3 years ago,5
@ernestmfakudze,He cracked me up when he said those people climbing the wall were not actors and they were not from Hollywood!,1 year ago,525
@jackflash8342,President Trump being right again and again.,11 months ago,341
@WizardCrafterzSucksL,"The guardian: “Trump wickedly berates and attacks elderly women”
Reality: Trump ask’s his mother to pass the ketchup at dinner",1 year ago,456
@citizen8969,Imagine being called out by the President,4 years ago,5
@explorewithjehan4244,"No fear , no hesitation and such a brave person.",3 years ago,254
@prkycck4445,"This is how you ask the question the right way:  “Mr. President, what do you say to those who believe the caravan was not an invasion as you said it but were rather peaceful refugees?”  Simple, does not attack the president verbally, and offers room for a discussion.  These news reporters don’t know how to ask questions which is rather sad!",3 years ago,136
@kareemthephb9015,“they’re not from hollywood” killed me,1 year ago,199
@thecrabpulsar,That was savage! Sometimes I think Trump is treating these reporters the right way. They deserve every misery that comes their way bcoz of the way they behave.,3 years ago,52
@kingsmith5412,Yesmi was being disrespectful talkin out a term and that is a disgrace for the media to be doing such a thing,6 months ago,6
@marccharlton6951,For once trump is right like he’s said stop and the guy just keeps going,4 years ago,2
@JoeGallo43,Love him or hate him you cannot deny that he's the funniest Prez we've ever had.,2 years ago,830
@prathamgokani,"His finger movements at 1:53 when he gives his iconic ""CNN should be ashamed of itself"" speech are perfectly in sync with what he says",1 year ago,84
@aimeek1236,The disrespect he constantly had to deal with,1 year ago,32
@MuhammadAli-jd2ut,He has such a strong personality. Biden is nothing compared to him.,2 years ago,82
@TheGamerHenstrike,Dude just stood up and interrupted another reporter nice going guy,1 year ago,21
@theworldisyouroyster,Not a fan of Trump but... “here we go” and reporter says “climbing walls” I can’t stop laughing,3 years ago,2
@americantexmex2306,"Imagine Biden getting questions like that instead of the softball questions he normally gets from CNN. It would probably sound like this. Mr. President, earlier in your speech to the nation you mentioned you were eating chocolate chocolate chip ice cream. But it was not chocolate chocolate chip. It was chocolate mocha chip. Is this now your favorite flavor?",1 year ago,142
@sdrewe99,I don't know why Trump even bothers acknowledging any CNN reporters.,3 years ago,99
@mukiro8407,I hate when the media interpretes rather than report news.,3 months ago,13
@PeachWookiee,"If the reporter had been a bit more immature, he could have said, “Mr. President, I know you are, but what am I?”",2 years ago,31
@humanentity2214,Talks straight. Need more politicians who talk straight.,11 months ago,35
@thomaslee9740,Trump has an argument that makes sense. There should be immigrants but there also should be a process.,4 years ago,5
@bolomani,"But you left the juicy part when he responded to the second reporter (Peter) who was defending Jim Costa, hilarious response lol. Peter ”in Jim’s defense, I’ve travelled with him and watch him, he is a diligent reporter…” Trump “well I am not a big fan of yours either”",2 years ago,46
@joelewis7380,I love how she just snatched the mic,3 years ago,88
@Michiganian8,It takes a courageous person to go against such a man,1 year ago,28
@ACM1PT95,Maybe if the reporter had stopped interrupting trump when he is answering then maybe he could have had an answer from that last question. Trump did it as well but this guy kept on going.,3 years ago,4
@diamondfb,"Everything President Trump said was true. What a man and what guts. After asking him to sit down, the guy still persisted. Shouldn't people like that be kicked out? I thought a security person would escort him out. He was disrupting the conference.",1 months ago,1
@theloniouscoltrane3778,"2019
""...they have to come in LEGALLY""
He is right. What is wrong with that statement?
I am not even a Trump fan.",4 years ago,4
@urawesome4670,"Letting someone know their observation and being straightforward with it, is not an attack. It is being a realist.",2 years ago,18
@kissing61,Well done Mr. President. I can hardly wait for you to return to office and give this country the leadership it deserves.,2 years ago,30
@erlkonigschubert,"No one wanna talk about how tf someone who rules over a superpower country as a president, senator, businessman, which should ve knew numberous name in his life, can tell who his small fry name? He even defended her honor and knew her full name. Respect",8 months ago,0
@willrosenberg2960,Man I miss this guy! Tells it like it is!,2 years ago,51
@caelfielding5188,I want Trump back so bad!,11 months ago,31
@Sugarlips123,“I think you should let me run the country you run CNN and if you did it well your ratings would be much better”.,3 years ago,1
@danielmoore6664,I miss this man dearly,1 year ago,100
@plutoreturns9630,Back in the day Trump would mostly do this when a reporter actually was being out of hand. It worked for his public image. Now he does it whenever he doesn't feel like answering a question.,3 years ago,0
@roquitoroque7198,That was very humiliating to be called out by the Chief Executive.,4 months ago,1
@samcoiro2809,I wish we had a President like him!!!!!!!!!!!!!,1 year ago,2
@t-bonesteak1502,"Don’t blame jim, blame whoever hired him",8 months ago,4
@Samiur_Rahman,"""You're a rude terrible person. You shouldn't be working for CNN""

- Donald Trump, 2018",2 years ago,1
@beatsmithx1090,I'm not a trump guy but that gave me goosebumps,3 years ago,2
@user-ts9uk9kj3z,Why did the journalist keep asking on a bunch of topics? Were he ever aware of depriving others' chances of raising a question? It's a press conference not a one-on-one interview. Media today are loosen from norms and usually lure people into their forged stories.,2 years ago,1
@c1arex,I like how both the left and right can come together in this comments section and agree that reporter was a piece of work,11 months ago,2
@gregfehlinger9527,My husband came legally from Canada. Cost us thousands. Takes years to do. The amount of mistakes the USA has made along the way is insane. Information is limit and every branch along the way does not know much about the next step. It’s a nightmare,3 years ago,3
@breadspaghetti4216,"""I think you should let me run the country - you run CNN and honestly if you did it well, your ratings would be much better.""
Who could've seen this coming!",11 months ago,20
@craftyranger3717,“Trump attacks CNN reporter” seems more like a disagreement/argument to me,3 years ago,1
@albertaguirre7278,"What a boss, I can't believe Americans can't see this in the president and instead elect a crooked career politician",2 years ago,1
@noi5emaker,All leaders need to be questioned and challenged.,3 years ago,2
@global4508,I never imagined saying this but I miss Trump after experiencing this downhill since Biden,1 year ago,3
@ecbighitters,"""C'mon, hurry up!"" 
(Whistles and uses his hands to hurry him)

Does anyone not realize that Acosta doesn't even ask Biden questions? You know why? Because once Trump was gone CNN said, ""no more need for you"" and he was reassigned to certain completely different.",2 years ago,17
@Newtruck99,I remember watching this live. It was so awesome,10 months ago,51
@TheBlackMage3,"I don't like Trump, but this reporter deserved this. He was acting rude. Imagine the reaction if he had antagonized any other president in this way.",4 years ago,1
@aguilarbianca501,"""That's enough, put down the mic"" Trump gives me life",2 years ago,28
@marcomelendez2467,"As a person living in Central America, its tough over here. However, I completely agree with Trump here since they tried to enter illegally",2 years ago,52
@amberanderson528,Trump calling someone else rude is out of this world.,1 year ago,1
