username,comment,like,date,comment_length
jackjolly789,Im not from the US but I sure as hell know not to point a weapon at a cop Its extremely senseless,160,2020-11-13 10:40:59.345294,101
DenverEight,I remember in Captain Planet Matis power of heart linked the other planeteers on an empathic and telepathic degree His teammates understood and linked together to quickly assess problems and then possibly summon Captain Planet The key to it was Matis own will that anchored and drove the team to their goals,0,2020-11-13 10:40:59.345294,313
jhartmggc,Its tragic how this all unfolded Unfortunately once the officers suspected a DIU they had to follow the rules Changing laws for minor crimes like DIU where the car is impounded and the suspect is ticketed and told to report to court instead of being handcuffed and arrested would have avoided this confrontation,0,2020-11-13 10:40:59.345294,316
datofficial6062,We dont need his help to understand what were seeing what we need is a full uncut video to judge for ourself what were seeing,289,2020-11-13 10:40:59.345294,131
panthercub10,You know it odd but the more this happens the more I start to see and hear people give any excuse to take another persons life,1,2020-11-13 10:40:59.345294,127
thomasgurgal6438,I have been in a similar situation after an office party The police drove me home and that is what should have happened here or they should have let him call family Nothing he did was a capital offence Police  dont get to be judge jury AND executioner,1,2020-11-13 10:40:59.345294,262
cynthialangley7338,I dont even know what to say If this is standard operating procedure then we definitely need to make major changes asap My condolences to the family,19,2020-11-13 10:40:59.345294,152
jjburkk,Theres a time and a place to fight the police  Its called a court room,41,2020-11-13 10:40:59.345294,74
triadi5876,May He rest in peace,0,2020-11-13 10:40:59.345294,21
bertreynolds8146,Can you imagine if CNN was the only place you were getting news Youd know absolutely nothing about nothing,38,2020-11-13 10:40:59.345294,108
SIl_Ae,"I always ask myself the same question when it comes to police shootings Dont they train to know where to aim

Theres a massive difference in aiming at someone with a deadly weapon assaulting you and chasing someone The guy used a taser the officer probably panicked its understandable that maybe he lost composure in that moment But this is a prime example of a where police training fails  b why police shouldnt be armed",0,2020-11-13 10:40:59.345294,437
agonzalez8924,You conveniently left out that in the struggle he also ripped away a taser from one of the officers and was actively trying to use it,64,2020-11-13 10:40:59.345294,135
milaniinalim3357,He was drunk and acted irrationally when panicked but he still didnt deserve to die so many people have done worse and are still alive,103,2020-11-13 10:40:59.345294,136
NeverCanDecide,How can you try fight cops steal their weapon and be susprised that they shot you lol,30,2020-11-13 10:40:59.345294,86
janellebentley2002,Well analyzed and the cops were definitely embarrassed We need a conviction,0,2020-11-13 10:40:59.345294,76
mattfoley7881,If you resist arrest you take a chance  If you grab an officers weapon you take a chance  If you run away from officers who apprehended you you take a chance  If you aim a weapon at an officer you take a chance  When you do all 4 youre flipping a coin as to whether youll come out alive,3,2020-11-13 10:40:59.345294,299
justinleet3639,The fact this is what you choose to cover shows your true intentions,85,2020-11-13 10:40:59.345294,69
ezdoesit20,The fact that she said white officers and a black man is the problem,405,2020-11-13 10:40:59.345294,72
wwhinshort912,Teach everyone to respect human To respect life To live and enjoy life Stop these kind of behavior,32,2020-11-13 10:40:59.345294,102
paulreed3778,if you drive under the influence which puts other people in danger and then get punished for it thats how life works If you try to avoid said punishment and force an altercation like this then in the event you are shot andor killed you brought all of it on yourself Decisions have consequences,0,2020-11-13 10:40:59.345294,297
davidpaglia1326,Almost the same thing happened to me but cop took my keys and told me he would be back in an hour I went into store had a cup of coffee cop came back asked me if i was alright and gave me my keys That was 1981 Back in those days it wasnt all about filling town coffers,0,2020-11-13 10:40:59.345294,272
